audio_uri,audio_begin_time,audio_length,video_title,chunks,flagged_items
http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335521960203.mp3,56450,60560,WCQM  2013   Q&A Panel,"[{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335521654584.mp3"",""audio_begin_time"":""56450"",""audio_length"":""10810"",""text"":""until we figure out what to do, a proactive approach to it. So, is such an approach available? Yes, it is available because we now know""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335521686759.mp3"",""audio_begin_time"":""67260"",""audio_length"":""10270"",""text"":""that we choose, in the consciousness that is ordinarily beyond us, but there is a pathway, road to consciousness, called creative process.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335521735541.mp3"",""audio_begin_time"":""77530"",""audio_length"":""8020"",""text"":""But let's add a French touch, because""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335521786871.mp3"",""audio_begin_time"":""85550"",""audio_length"":""10420"",""text"":""some thing that God speaks in quantum physics, ad others think God speaks in mathematics but actually, God speaks in French, you know that.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335521840404.mp3"",""audio_begin_time"":""95970"",""audio_length"":""10170"",""text"":""From Quebec? From Quebec with a French Quebec \u00a0accent""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335521884083.mp3"",""audio_begin_time"":""106140"",""audio_length"":""10870"",""text"":""because French is the language of love, and when i started to my practice as a medical doctor, at the beginning, I was""}]","{""chunks"":{""numItems"":111,""flaggedIndices"":[5],""flaggedWords"":[""[xx]\u00a0to""],""status"":""subflagged""}}"
http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335523133014.mp3,242950,34510,WCQM  2013   Q&A Panel,"[{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335522862005.mp3"",""audio_begin_time"":""242950"",""audio_length"":""9640"",""text"":""i would like to add also a little something because I am not a great healer or a doctor or a scientist, but am an expert at this, and this is love.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335522923353.mp3"",""audio_begin_time"":""252590"",""audio_length"":""9990"",""text"":""This entire experience, and in fact it related to bit what I was talking about earlier, this exchange of energy between these speakers""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_13933552298702.mp3"",""audio_begin_time"":""262580"",""audio_length"":""10000"",""text"":""and also we all a group that all of you are sending us the energy right now, and building this conversation to greater heights and experience""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/4tzkA92k6i-split_139335523067277.mp3"",""audio_begin_time"":""272580"",""audio_length"":""4880"",""text"":""of love. So I wanted to thank you for that.""}]","{""chunks"":{""numItems"":92,""flaggedIndices"":[0],""flaggedWords"":[""i'd""],""status"":""subflagged""}}"
